name,elevation_ft,iso_country,iso_region,continent
Beyer Farm Airport,1340.0,US,US-KS,
Glaser Field,480.0,US,US-TX,
Ainsworth Airport,129.0,US,US-TX,
Hunter STOLport,640.0,US,US-TN,
Roscoe Mc Connico Airport,350.0,US,US-TX,
6 Mile Airpark,2165.0,US,US-TX,
Diamond N Ranch Airport,215.0,US,US-TX,
Mount Horeb Field,1160.0,US,US-VA,
N A Degerstrom Yard Heliport,2013.0,US,US-WA,
Young Private Airport,1075.0,US,US-WI,
Western Airpark,394.0,US,US-WA,
J & W Windy Hill Airport,784.0,US,US-TX,
Campbell Field,546.0,US,US-TX,
Herman Municipal Airport,1068.0,US,US-MN,
Pan Lake Strip Airport,357.0,US,US-AK,
Tac X Stagefield Army Heliport,132.0,US,US-AL,
Morrilton Airport,300.0,US,US-AR,
John C Lincoln Hospital Heliport,1255.0,US,US-AZ,
Blue Hill Airport,360.0,US,US-ME,
West Side Hospital Heliport,850.0,US,US-CA,
Richvale Airport,100.0,US,US-CA,
Comanche Creek Airport,6620.0,US,US-CO,
TNT Heliport,430.0,US,US-CT,
Tackaberry Airport,764.0,US,US-MI,
Ocean Reef Club Airport,8.0,US,US-FL,
Flying G Ranch STOLport,90.0,US,US-FL,
Southwest Florida Regional Medical Center Heliport,18.0,US,US-FL,
Alcovy Airport,750.0,US,US-GA,
Lake Monroe Seaplane Base,538.0,US,US-IN,
Hoskins Landing,971.0,US,US-IA,
Interstate Airport,4580.0,US,US-ID,
St Vincent Jennings Hospital Heliport,740.0,US,US-IN,
Gray Airport,750.0,US,US-IN,
Central City Municipal - Larry Reineke Field,1717.0,US,US-NE,
Heape Field,1321.0,US,US-KS,
Blue Lick Airport,532.0,US,US-KY,
Air Oil Inc Nr 1 Heliport,,US,US-LA,
Louisiana State Police Troop F Heliport,80.0,US,US-LA,
West Pond Heliport,149.0,US,US-MA,
Baugher's Orchard Airport,700.0,US,US-MD,
Westbrook Heliport,250.0,US,US-ME,
Scott Airstrip,1065.0,US,US-MI,
Dairyview Airport,1680.0,US,US-MN,
Lake Sexton Airport,880.0,US,US-MO,
Glasgow Industrial Airport,2762.0,US,US-MT,
Bermudian Valley Airpark,470.0,US,US-PA,
Hawks Meadow Airport,625.0,US,US-NC,
Diving Rock Seaplane Base,1404.0,US,US-NH,
Hackensack UMC Palisades Heliport,10.0,US,US-NJ,
Border Line Farm Airport,5120.0,US,US-NV,
Mmc Heliport,1320.0,US,US-NY,
Tennessee Gas Heliport,1025.0,US,US-OH,
Pleasant Valley Airport,1322.0,US,US-OK,
Bruce's Airport,250.0,US,US-OR,
Folmar Airport,1690.0,US,US-PA,
